user_id,product_id,rating,clicks,views,purchases
65,1,2,1,35,0
90,8,5,9,10,0
34,19,1,6,4,0
75,4,1,4,36,0
73,3,1,2,48,0
96,5,4,0,13,0
99,9,1,0,20,0
86,13,3,2,49,0
61,9,3,8,7,1
95,20,3,9,47,0
69,3,4,8,21,0
23,16,1,6,45,1
58,7,2,4,35,0
75,18,4,8,10,0
17,6,5,7,42,0
27,2,5,4,38,1
65,20,1,6,25,0
36,6,4,2,44,0
91,10,2,2,39,0
45,13,2,9,20,0
61,9,1,2,13,0
63,17,1,7,33,0
6,12,5,4,16,0
75,5,4,2,19,1
18,15,1,0,14,0
1,3,1,9,32,0
76,8,2,3,26,0
60,18,4,4,41,0
27,17,1,0,20,0
29,13,3,5,18,0
69,15,1,1,10,1
5,1,1,1,32,1
11,17,5,0,34,0
1,16,4,0,5,1
3,5,5,4,10,0
17,14,1,0,45,0
62,1,1,7,32,0
95,8,2,9,34,0
3,18,4,0,44,0
94,17,5,4,14,0
51,7,4,1,38,0
82,15,3,2,34,0
38,1,4,6,42,0
5,4,2,7,17,0
84,5,2,5,2,0
43,16,3,2,47,0
55,16,3,5,16,0
4,3,3,1,19,0
82,10,5,5,21,0
5,9,4,9,46,0
78,13,3,8,26,0
86,15,3,0,26,0
8,17,3,3,15,0
56,14,2,6,14,0
26,14,3,7,7,0
23,14,3,1,38,0
15,5,4,9,39,0
86,12,1,0,13,0
68,10,3,8,45,0
100,15,2,7,40,0
83,10,1,4,6,0
64,2,3,7,45,0
33,6,4,7,9,0
31,8,5,3,24,0
66,20,4,3,15,0
94,6,3,8,2,0
8,19,5,4,6,1
68,19,4,0,20,0
47,1,2,5,37,0
100,13,3,2,33,0
10,5,2,1,13,0
84,1,5,8,17,0
15,6,3,0,5,0
50,14,5,7,11,1
76,3,3,0,40,0
60,8,3,8,37,0
30,3,5,4,5,0
78,4,1,9,25,0
72,7,3,5,33,0
15,1,1,0,33,0
66,14,5,7,40,0
51,6,3,6,8,0
15,15,5,0,30,0
36,6,1,0,37,0
33,4,2,9,5,0
97,6,5,3,45,0
56,15,5,7,5,0
68,12,5,1,27,0
36,4,2,4,20,0
74,8,2,9,13,0
82,1,4,3,48,0
37,8,2,0,28,0
9,19,5,7,41,1
23,1,5,4,26,0
54,1,3,7,15,0
73,9,2,3,26,0
63,20,1,9,11,1
7,18,3,1,27,0
43,12,3,2,24,0
52,6,5,7,33,0
63,11,2,1,21,0
81,20,1,0,20,0
92,8,1,6,1,0
94,19,3,7,19,0
30,17,5,7,19,0
78,19,2,1,28,0
94,6,3,3,1,0
55,7,3,9,10,0
34,1,4,1,7,0
65,3,3,7,47,0
51,1,4,7,34,0
88,14,3,3,37,0
14,16,2,6,10,0
23,19,5,2,36,0
82,2,1,4,20,0
2,3,4,3,5,0
94,9,2,4,44,0
86,12,1,9,30,0
87,17,2,2,17,0
40,2,5,8,39,0
22,11,4,9,29,0
87,5,3,5,18,0
42,4,1,5,34,0
25,6,2,6,42,0
27,6,3,7,34,0
53,7,2,0,26,0
62,14,2,5,43,0
53,4,3,9,29,0
40,11,4,0,39,0
54,2,5,7,33,0
20,19,3,3,43,0
98,9,2,1,9,0
17,1,1,7,42,0
35,3,2,4,44,0
94,6,2,2,37,0
49,17,2,8,49,0
62,16,3,7,31,0
87,5,1,1,25,0
59,9,5,9,47,0
16,7,1,6,26,0
7,14,5,6,9,0
72,18,3,6,29,0
94,20,3,1,42,0
14,3,4,1,3,0
40,12,1,3,29,0
13,18,1,9,44,0
55,3,2,1,30,0
13,13,2,2,39,0
29,17,5,4,44,0
56,12,1,9,30,0
84,5,1,0,3,0
30,18,4,1,37,0
65,14,1,0,24,0
59,5,5,4,43,0
39,14,3,1,25,0
4,8,4,5,45,0
98,9,1,9,3,0
5,5,1,8,35,0
61,10,3,1,18,0
88,3,3,5,13,0
89,9,4,4,34,0
56,3,3,8,3,1
76,10,1,7,25,0
59,2,4,5,8,0
48,18,5,4,13,0
40,13,5,2,3,0
98,8,3,0,6,0
80,8,4,0,48,0
45,10,4,5,7,0
45,19,2,9,32,0
30,7,2,3,2,0
93,12,2,0,41,0
95,2,4,7,45,0
70,19,2,8,32,0
28,15,5,5,4,0
100,18,4,0,12,0
10,1,2,7,18,0
64,15,5,3,35,0
76,7,5,0,6,0
32,19,3,9,23,0
46,2,5,3,17,0
39,15,5,3,32,0
78,20,3,2,17,1
56,15,5,3,6,0
69,3,3,0,38,0
61,3,1,8,24,0
15,12,3,7,46,0
93,8,3,1,7,0
64,12,5,7,3,0
15,14,1,3,36,0
48,2,3,0,8,0
94,18,3,8,33,1
41,8,3,5,24,0
76,14,4,3,33,0
32,18,4,0,2,0
77,1,5,3,26,0
66,6,2,9,15,0
44,17,3,2,6,0
73,7,1,1,12,0
50,20,3,6,11,0
4,6,2,5,26,0
41,10,3,1,12,0
13,13,3,9,19,1
100,13,5,6,32,0
82,6,2,2,22,0
56,9,3,2,28,0
35,15,1,6,12,0
85,20,5,3,28,0
20,18,1,2,32,0
98,4,2,1,36,0
42,19,3,9,12,0
18,8,5,0,35,0
100,16,2,1,37,0
41,15,1,3,2,0
17,2,3,4,5,0
40,12,4,6,47,0
10,3,2,9,12,0
1,5,4,7,43,1
57,20,4,8,43,0
76,5,1,0,44,0
79,6,4,3,14,0
37,20,2,0,35,0
59,5,1,0,14,0
20,18,3,1,25,0
57,7,3,1,23,0
84,13,4,1,42,0
8,18,5,0,8,0
5,15,2,0,26,0
30,18,2,0,26,0
76,8,1,3,33,0
31,16,5,4,41,0
92,2,2,5,9,0
89,16,5,8,13,0
75,4,2,5,46,1
19,6,2,1,13,0
83,13,3,0,24,0
71,15,1,9,7,0
19,1,1,0,35,0
90,11,3,7,46,0
66,14,1,2,21,0
48,2,4,4,29,0
12,5,2,4,15,0
15,11,2,4,23,0
80,15,5,8,36,1
15,4,5,5,19,0
68,16,5,3,46,0
28,3,2,3,30,0
49,13,4,9,25,0
7,12,2,6,13,0
63,17,2,9,36,0
7,1,4,7,45,0
13,9,2,8,15,0
42,8,1,9,27,0
50,19,4,6,10,0
19,4,2,0,5,0
99,12,2,0,21,0
48,5,3,6,32,0
73,14,5,8,25,1
35,7,5,1,3,0
39,9,1,6,24,0
19,4,2,5,42,1
36,8,5,0,36,0
8,1,3,5,41,0
13,17,4,1,5,0
32,8,2,2,44,0
3,6,2,6,44,0
81,3,2,6,30,0
22,12,2,3,5,0
31,15,1,6,16,0
30,16,4,0,16,0
84,3,5,6,28,1
5,20,4,0,30,0
70,18,1,4,16,0
98,14,4,0,23,0
66,9,5,1,27,0
65,11,3,3,23,1
82,6,3,5,43,0
60,5,4,9,12,1
42,6,2,2,30,0
30,14,3,6,14,0
21,3,2,1,35,0
20,18,2,8,2,0
54,1,4,0,46,0
52,3,3,8,6,0
98,8,5,1,4,0
68,13,4,3,18,0
63,6,5,1,23,0
5,19,2,9,25,0
11,18,5,7,15,1
83,9,3,4,9,0
7,16,4,0,4,0
40,17,5,6,29,0
38,7,2,4,35,0
92,14,5,5,5,0
2,6,5,9,23,0
39,5,1,4,26,0
85,18,5,3,17,0
60,11,5,3,26,0
34,20,4,1,40,0
93,20,5,5,42,0
13,17,1,0,9,1
2,16,5,0,10,1
60,8,5,6,34,0
86,8,1,0,23,0
83,5,4,0,23,0
77,8,1,6,43,0
51,3,1,4,20,0
58,14,4,3,15,1
28,19,3,9,5,0
96,8,2,5,47,0
92,17,1,8,2,0
67,17,4,3,14,0
89,18,2,4,36,0
2,13,5,1,11,0
17,8,2,6,9,0
59,14,4,9,25,0
30,20,5,2,46,0
21,3,2,6,39,0
47,18,5,4,8,0
7,12,3,5,22,1
22,13,2,1,29,0
52,18,3,6,24,0
22,11,5,0,3,0
19,7,4,8,37,0
58,16,1,4,3,1
99,10,2,8,10,0
46,7,3,1,41,0
9,20,4,5,42,0
54,12,1,8,34,0
20,11,3,6,6,0
58,4,5,3,20,0
99,5,5,5,40,0
74,6,4,8,45,0
71,4,5,2,24,0
58,20,4,7,24,0
82,19,4,2,49,0
83,13,4,9,38,0
100,19,5,3,30,0
55,1,2,3,49,0
