user_id,age,income,location,past_purchases
1,56,91228,Rural,18
2,69,144752,Urban,13
3,46,78984,Suburban,5
4,32,70774,Urban,5
5,60,32568,Urban,12
6,25,92592,Urban,18
7,38,97563,Urban,7
8,56,32695,Suburban,1
9,36,78190,Urban,0
10,40,35258,Suburban,14
11,28,117538,Urban,0
12,28,69504,Urban,4
13,41,63159,Urban,15
14,53,43986,Urban,18
15,57,91858,Suburban,3
16,41,42666,Urban,2
17,20,68660,Urban,16
18,39,33561,Urban,16
19,19,56854,Urban,11
20,41,94505,Suburban,13
21,61,134488,Suburban,5
22,47,82251,Urban,2
23,55,52662,Rural,8
24,19,38392,Urban,4
25,38,60535,Rural,16
26,50,108603,Urban,13
27,29,143569,Urban,2
28,39,82256,Urban,0
29,61,119135,Suburban,19
30,42,65222,Suburban,0
31,66,107373,Suburban,2
32,44,109575,Urban,17
33,59,126354,Suburban,9
34,45,114651,Suburban,2
35,33,93335,Urban,7
36,32,40965,Urban,13
37,64,54538,Urban,17
38,68,138066,Rural,14
39,61,100592,Urban,1
40,69,128018,Rural,9
41,20,143252,Urban,1
42,54,38110,Rural,16
43,68,109309,Suburban,7
44,24,57266,Urban,0
45,38,82992,Suburban,8
46,26,112948,Suburban,10
47,56,128806,Rural,15
48,35,36910,Urban,6
49,21,140989,Urban,9
50,42,120982,Suburban,2
51,31,149176,Rural,17
52,67,30206,Urban,12
53,26,117054,Urban,6
54,43,117897,Rural,3
55,19,53419,Urban,12
56,37,80636,Suburban,19
57,45,144238,Rural,0
58,64,80015,Suburban,7
59,24,147478,Suburban,13
60,61,137059,Urban,15
61,25,84268,Suburban,13
62,64,140687,Suburban,11
63,52,117939,Urban,18
64,31,48141,Urban,14
65,34,110356,Rural,1
66,53,135878,Suburban,1
67,67,101910,Urban,18
68,57,86044,Rural,16
69,21,97214,Rural,19
70,19,147930,Suburban,9
71,23,149324,Rural,5
72,59,63827,Urban,14
73,21,85820,Urban,10
74,46,92623,Suburban,4
75,35,111734,Rural,0
76,43,105450,Rural,7
77,61,123426,Urban,11
78,51,147845,Rural,11
79,27,52299,Rural,4
80,53,73585,Rural,6
81,31,139225,Suburban,3
82,48,94044,Suburban,5
83,65,72557,Suburban,12
84,32,79080,Urban,19
85,25,139556,Rural,14
86,31,32693,Rural,2
87,40,125003,Urban,7
88,57,125259,Urban,19
89,38,142235,Urban,15
90,33,99163,Urban,12
91,62,55939,Rural,17
92,35,78925,Urban,9
93,64,72941,Urban,18
94,41,51834,Urban,16
95,43,48047,Urban,18
96,42,56105,Urban,4
97,62,105766,Suburban,8
98,58,45707,Suburban,11
99,46,51976,Urban,0
100,32,74262,Suburban,0
